SensorId; TimeStamp (s); FrameNumber; AccX (g); AccY (g); AccZ (g); GyroX (deg/s); GyroY (deg/s); GyroZ (deg/s); MagX (uT); MagY (uT); MagZ (uT); EulerX (deg); EulerY (deg); EulerZ (deg); QuatW; QuatX; QuatY; QuatZ; LinAccX (g); LinAccY (g); LinAccZ (g)
1.0000;0.9200;92.0000;-0.1195;-0.1947;-1.0638;7.6524;-10.0474;23.3505;0.0000;0.0000;0.0000;10.1413;-4.9005;-64.0579;1.0000;0.0000;0.0000;0.0000;0.0350;0.0196;0.0829
1.0000;0.9300;93.0000;-0.1064;-0.1895;-1.0567;4.5819;-15.0262;27.2667;0.0000;0.0000;0.0000;10.1660;-5.0965;-63.8150;1.0000;0.0000;0.0000;0.0000;0.0190;0.0137;0.0762
1.0000;0.9400;94.0000;-0.1304;-0.1717;-1.0288;0.6428;-19.9341;31.9293;0.0000;0.0000;0.0000;10.1469;-5.3491;-63.5348;1.0000;0.0000;0.0000;0.0000;0.0388;-0.0039;0.0486
1.0000;0.9500;95.0000;-0.1309;-0.1590;-1.0022;-4.1872;-15.0923;27.3732;0.0000;0.0000;0.0000;10.0795;-5.5490;-63.2899;1.0000;0.0000;0.0000;0.0000;0.0354;-0.0157;0.0222
1.0000;0.9600;96.0000;-0.1128;-0.1728;-1.0173;-11.4331;-5.9759;19.7473;0.0000;0.0000;0.0000;9.9471;-5.6422;-63.1050;1.0000;0.0000;0.0000;0.0000;0.0150;0.0000;0.0372
1.0000;0.9700;97.0000;-0.0883;-0.1866;-1.0472;-14.5107;-0.7393;14.9469;0.0000;0.0000;0.0000;9.7875;-5.6751;-62.9583;1.0000;0.0000;0.0000;0.0000;-0.0104;0.0164;0.0667
1.0000;0.9800;98.0000;-0.0545;-0.1887;-1.0409;-14.0668;-2.4942;15.6558;0.0000;0.0000;0.0000;9.6319;-5.7261;-62.8074;1.0000;0.0000;0.0000;0.0000;-0.0449;0.0212;0.0601
1.0000;0.9900;99.0000;-0.0641;-0.1887;-1.0206;-14.3774;-7.5999;21.1641;0.0000;0.0000;0.0000;9.4683;-5.8362;-62.6103;1.0000;0.0000;0.0000;0.0000;-0.0368;0.0240;0.0394
1.0000;1.0000;100.0000;-0.0939;-0.1842;-0.9836;-14.7408;-10.9223;24.1567;0.0000;0.0000;0.0000;9.3009;-5.9829;-62.3899;1.0000;0.0000;0.0000;0.0000;-0.0094;0.0224;0.0022
1.0000;1.0100;101.0000;-0.0949;-0.1800;-0.9641;-14.6585;-9.5221;22.2998;0.0000;0.0000;0.0000;9.1326;-6.1127;-62.1839;1.0000;0.0000;0.0000;0.0000;-0.0107;0.0211;-0.0176
1.0000;1.0200;102.0000;-0.0968;-0.1760;-0.9510;-16.0140;-12.2416;23.9468;0.0000;0.0000;0.0000;8.9489;-6.2712;-61.9653;1.0000;0.0000;0.0000;0.0000;-0.0113;0.0201;-0.0309
1.0000;1.0300;103.0000;-0.1255;-0.1747;-0.9550;-20.2700;-16.3061;26.3308;0.0000;0.0000;0.0000;8.7200;-6.4728;-61.7288;1.0000;0.0000;0.0000;0.0000;0.0141;0.0225;-0.0270
1.0000;1.0400;104.0000;-0.1586;-0.1579;-0.9412;-22.8066;-13.3110;23.0374;0.0000;0.0000;0.0000;8.4680;-6.6388;-61.5195;1.0000;0.0000;0.0000;0.0000;0.0440;0.0100;-0.0411
1.0000;1.0500;105.0000;-0.1571;-0.1380;-0.9138;-22.7958;-1.2133;12.1554;0.0000;0.0000;0.0000;8.2269;-6.6746;-61.4012;1.0000;0.0000;0.0000;0.0000;0.0409;-0.0056;-0.0689
1.0000;1.0600;106.0000;-0.1416;-0.1398;-0.9279;-26.0158;7.5512;4.9310;0.0000;0.0000;0.0000;7.9598;-6.6068;-61.3413;1.0000;0.0000;0.0000;0.0000;0.0261;0.0005;-0.0556
1.0000;1.0700;107.0000;-0.1778;-0.1418;-0.9458;-28.2148;6.4514;6.1524;0.0000;0.0000;0.0000;7.6696;-6.5512;-61.2711;1.0000;0.0000;0.0000;0.0000;0.0634;0.0074;-0.0385
1.0000;1.0800;108.0000;-0.1818;-0.1396;-0.9563;-28.9186;-2.3525;10.6070;0.0000;0.0000;0.0000;7.3687;-6.5884;-61.1683;1.0000;0.0000;0.0000;0.0000;0.0675;0.0103;-0.0287
1.0000;1.0900;109.0000;-0.1690;-0.1234;-0.9531;-27.4982;-9.6036;14.9489;0.0000;0.0000;0.0000;7.0778;-6.7025;-61.0312;1.0000;0.0000;0.0000;0.0000;0.0531;-0.0008;-0.0324
1.0000;1.1000;110.0000;-0.1563;-0.1093;-0.9302;-26.9285;-13.4114;17.6094;0.0000;0.0000;0.0000;6.7891;-6.8614;-60.8716;1.0000;0.0000;0.0000;0.0000;0.0379;-0.0100;-0.0556
1.0000;1.1100;111.0000;-0.1595;-0.1035;-0.9197;-30.2332;-8.9838;15.7071;0.0000;0.0000;0.0000;6.4691;-6.9688;-60.7249;1.0000;0.0000;0.0000;0.0000;0.0387;-0.0104;-0.0664
1.0000;1.1200;112.0000;-0.1722;-0.1319;-0.9861;-34.4406;2.8748;7.7963;0.0000;0.0000;0.0000;6.1148;-6.9488;-60.6437;1.0000;0.0000;0.0000;0.0000;0.0510;0.0239;-0.0006
1.0000;1.1300;113.0000;-0.1883;-0.1516;-1.0626;-31.6846;11.3805;-2.2516;0.0000;0.0000;0.0000;5.7992;-6.8333;-60.6544;1.0000;0.0000;0.0000;0.0000;0.0686;0.0494;0.0750
